log_time,smi,signal,hist,raw_line,minute
2026-03-10 14:56:00,2026.0,,,"2026-03-10 14:56:00,433 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 14:54:00-04:00 curr_ts=2026-03-10 14:55:00-04:00 | fast/slow prev=-40.42/-25.12 curr=-59.27/-42.20 | rising=False falling=True | recent_min=-59.27 recent_max=27.67 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-10 14:56:00
2026-03-10 14:58:00,2026.0,,,"2026-03-10 14:58:00,343 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 14:56:00-04:00 curr_ts=2026-03-10 14:57:00-04:00 | fast/slow prev=-63.92/-53.06 curr=-57.22/-55.14 | rising=True falling=False | recent_min=-63.92 recent_max=27.67 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=False",2026-03-10 14:58:00
2026-03-10 15:10:00,2026.0,,,"2026-03-10 15:10:00,806 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:08:00-04:00 curr_ts=2026-03-10 15:09:00-04:00 | fast/slow prev=9.53/-3.24 curr=27.94/12.35 | rising=True falling=False | recent_min=-34.32 recent_max=27.94 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-10 15:10:00
2026-03-10 15:15:07,2026.0,,,"2026-03-10 15:15:07,637 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:13:00-04:00 curr_ts=2026-03-10 15:14:00-04:00 | fast/slow prev=-10.59/-0.96 curr=12.92/5.98 | rising=True falling=False | recent_min=-19.18 recent_max=36.11 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-10 15:15:00
2026-03-10 15:20:00,2026.0,,,"2026-03-10 15:20:00,856 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:18:00-04:00 curr_ts=2026-03-10 15:19:00-04:00 | fast/slow prev=67.44/54.52 curr=66.49/60.51 | rising=False falling=True | recent_min=-10.59 recent_max=67.44 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=False",2026-03-10 15:20:00
2026-03-10 15:21:07,2026.0,,,"2026-03-10 15:21:07,449 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:19:00-04:00 curr_ts=2026-03-10 15:20:00-04:00 | fast/slow prev=66.49/60.51 curr=27.34/43.93 | rising=False falling=True | recent_min=-10.59 recent_max=67.44 | crossOS=False crossOB=True | bull_confirm=False bear_confirm=True",2026-03-10 15:21:00
2026-03-10 15:28:00,2026.0,,,"2026-03-10 15:28:00,371 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:26:00-04:00 curr_ts=2026-03-10 15:27:00-04:00 | fast/slow prev=-46.18/-34.46 curr=-50.44/-42.45 | rising=False falling=True | recent_min=-50.44 recent_max=27.34 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-10 15:28:00
2026-03-10 15:33:00,2026.0,,,"2026-03-10 15:33:00,546 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:31:00-04:00 curr_ts=2026-03-10 15:32:00-04:00 | fast/slow prev=-72.46/-68.63 curr=-61.40/-65.02 | rising=True falling=False | recent_min=-72.46 recent_max=-26.24 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-10 15:33:00
2026-03-10 15:36:00,2026.0,,,"2026-03-10 15:36:00,371 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:34:00-04:00 curr_ts=2026-03-10 15:35:00-04:00 | fast/slow prev=-46.28/-52.71 curr=-55.15/-53.93 | rising=False falling=True | recent_min=-72.46 recent_max=-46.28 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-10 15:36:00
2026-03-11 01:55:07,2026.0,,,"2026-03-11 01:55:07,312 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:58:00-04:00 curr_ts=2026-03-10 15:59:00-04:00 | fast/slow prev=-32.00/-33.19 curr=-7.22/-20.21 | rising=True falling=False | recent_min=-55.05 recent_max=-7.22 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 01:55:00
2026-03-11 01:56:42,2026.0,,,"2026-03-11 01:56:42,761 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:58:00-04:00 curr_ts=2026-03-10 15:59:00-04:00 | fast/slow prev=-32.00/-33.19 curr=-7.22/-20.21 | rising=True falling=False | recent_min=-55.05 recent_max=-7.22 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 01:56:00
2026-03-11 01:58:35,2026.0,,,"2026-03-11 01:58:35,329 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:58:00-04:00 curr_ts=2026-03-10 15:59:00-04:00 | fast/slow prev=-32.00/-33.19 curr=-7.22/-20.21 | rising=True falling=False | recent_min=-55.05 recent_max=-7.22 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 01:58:00
2026-03-11 02:02:56,2026.0,,,"2026-03-11 02:02:56,660 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-10 15:58:00-04:00 curr_ts=2026-03-10 15:59:00-04:00 | fast/slow prev=-32.00/-33.19 curr=-7.22/-20.21 | rising=True falling=False | recent_min=-55.05 recent_max=-7.22 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 02:02:00
2026-03-11 10:34:00,2026.0,,,"2026-03-11 10:34:00,377 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 10:32:00-04:00 curr_ts=2026-03-11 10:33:00-04:00 | fast/slow prev=3.63/-6.84 curr=-20.32/-13.58 | rising=False falling=True | recent_min=-87.99 recent_max=5.40 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 10:34:00
2026-03-11 10:36:13,2026.0,,,"2026-03-11 10:36:13,041 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 10:34:00-04:00 curr_ts=2026-03-11 10:35:00-04:00 | fast/slow prev=-40.14/-26.86 curr=-38.12/-32.49 | rising=True falling=False | recent_min=-81.79 recent_max=5.40 | crossOS=True crossOB=False | bull_confirm=False bear_confirm=False",2026-03-11 10:36:00
2026-03-11 10:37:00,2026.0,,,"2026-03-11 10:37:00,308 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 10:35:00-04:00 curr_ts=2026-03-11 10:36:00-04:00 | fast/slow prev=-38.12/-32.49 curr=-6.79/-19.64 | rising=True falling=False | recent_min=-53.30 recent_max=5.40 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 10:37:00
2026-03-11 11:15:00,2026.0,,,"2026-03-11 11:15:00,349 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 11:13:00-04:00 curr_ts=2026-03-11 11:14:00-04:00 | fast/slow prev=-71.80/-71.61 curr=-64.87/-68.24 | rising=True falling=False | recent_min=-81.57 recent_max=-36.01 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 11:15:00
2026-03-11 11:20:44,2026.0,,,"2026-03-11 11:20:44,062 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 11:18:00-04:00 curr_ts=2026-03-11 11:19:00-04:00 | fast/slow prev=-66.89/-70.56 curr=-49.23/-59.90 | rising=True falling=False | recent_min=-81.57 recent_max=-49.23 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 11:20:00
2026-03-11 12:34:00,2026.0,,,"2026-03-11 12:34:00,502 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:32:00-04:00 curr_ts=2026-03-11 12:33:00-04:00 | fast/slow prev=81.64/79.59 curr=80.73/80.16 | rising=False falling=True | recent_min=26.01 recent_max=89.56 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=False",2026-03-11 12:34:00
2026-03-11 12:36:06,2026.0,,,"2026-03-11 12:36:06,815 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:34:00-04:00 curr_ts=2026-03-11 12:35:00-04:00 | fast/slow prev=83.18/81.67 curr=85.90/83.79 | rising=True falling=False | recent_min=46.62 recent_max=89.56 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 12:36:00
2026-03-11 12:37:00,2026.0,,,"2026-03-11 12:37:00,519 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:35:00-04:00 curr_ts=2026-03-11 12:36:00-04:00 | fast/slow prev=85.90/83.79 curr=77.93/80.86 | rising=False falling=True | recent_min=64.14 recent_max=89.56 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 12:37:00
2026-03-11 12:44:00,2026.0,,,"2026-03-11 12:44:00,354 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:42:00-04:00 curr_ts=2026-03-11 12:43:00-04:00 | fast/slow prev=41.02/32.09 curr=35.65/33.87 | rising=False falling=True | recent_min=2.20 recent_max=77.93 | crossOS=False crossOB=True | bull_confirm=False bear_confirm=False",2026-03-11 12:44:00
2026-03-11 12:45:00,2026.0,,,"2026-03-11 12:45:00,443 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:43:00-04:00 curr_ts=2026-03-11 12:44:00-04:00 | fast/slow prev=35.65/33.87 curr=17.70/25.79 | rising=False falling=True | recent_min=2.20 recent_max=77.20 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 12:45:00
2026-03-11 12:49:00,2026.0,,,"2026-03-11 12:49:00,343 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:47:00-04:00 curr_ts=2026-03-11 12:48:00-04:00 | fast/slow prev=1.97/0.59 curr=-0.15/0.22 | rising=False falling=True | recent_min=-11.14 recent_max=41.02 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 12:49:00
2026-03-11 12:54:00,2026.0,,,"2026-03-11 12:54:00,380 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:52:00-04:00 curr_ts=2026-03-11 12:53:00-04:00 | fast/slow prev=34.78/20.17 curr=57.07/38.62 | rising=True falling=False | recent_min=-12.38 recent_max=57.07 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 12:54:00
2026-03-11 12:56:20,2026.0,,,"2026-03-11 12:56:20,047 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:54:00-04:00 curr_ts=2026-03-11 12:55:00-04:00 | fast/slow prev=70.76/54.69 curr=65.76/60.23 | rising=False falling=True | recent_min=-12.38 recent_max=70.76 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=False",2026-03-11 12:56:00
2026-03-11 12:57:00,2026.0,,,"2026-03-11 12:57:00,326 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:55:00-04:00 curr_ts=2026-03-11 12:56:00-04:00 | fast/slow prev=65.76/60.23 curr=57.95/59.09 | rising=False falling=True | recent_min=-12.38 recent_max=70.76 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 12:57:00
2026-03-11 13:01:34,2026.0,,,"2026-03-11 13:01:34,143 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 12:59:00-04:00 curr_ts=2026-03-11 13:00:00-04:00 | fast/slow prev=81.08/73.37 curr=78.75/76.06 | rising=False falling=True | recent_min=57.07 recent_max=81.08 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=False",2026-03-11 13:01:00
2026-03-11 13:02:00,2026.0,,,"2026-03-11 13:02:00,392 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 13:00:00-04:00 curr_ts=2026-03-11 13:01:00-04:00 | fast/slow prev=78.75/76.06 curr=66.32/71.19 | rising=False falling=True | recent_min=57.95 recent_max=81.08 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 13:02:00
2026-03-11 13:28:00,2026.0,,,"2026-03-11 13:28:00,545 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 13:26:00-04:00 curr_ts=2026-03-11 13:27:00-04:00 | fast/slow prev=75.88/69.26 curr=70.31/69.79 | rising=False falling=True | recent_min=-21.42 recent_max=75.88 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=False",2026-03-11 13:28:00
2026-03-11 13:29:00,2026.0,,,"2026-03-11 13:29:00,368 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 13:27:00-04:00 curr_ts=2026-03-11 13:28:00-04:00 | fast/slow prev=70.31/69.79 curr=54.39/62.09 | rising=False falling=True | recent_min=7.13 recent_max=75.88 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 13:29:00
2026-03-11 14:34:00,2026.0,,,"2026-03-11 14:34:00,430 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 14:32:00-04:00 curr_ts=2026-03-11 14:33:00-04:00 | fast/slow prev=62.08/60.92 curr=49.90/55.41 | rising=False falling=True | recent_min=1.85 recent_max=70.72 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 14:34:00
2026-03-11 14:38:00,2026.0,,,"2026-03-11 14:38:00,368 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 14:36:00-04:00 curr_ts=2026-03-11 14:37:00-04:00 | fast/slow prev=34.64/42.06 curr=12.36/27.21 | rising=False falling=True | recent_min=12.36 recent_max=70.72 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 14:38:00
2026-03-11 14:41:00,2026.0,,,"2026-03-11 14:41:00,331 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 14:39:00-04:00 curr_ts=2026-03-11 14:40:00-04:00 | fast/slow prev=-26.12/-5.73 curr=-41.84/-23.79 | rising=False falling=True | recent_min=-41.84 recent_max=53.70 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 14:41:00
2026-03-11 14:48:00,2026.0,,,"2026-03-11 14:48:00,401 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 14:46:00-04:00 curr_ts=2026-03-11 14:47:00-04:00 | fast/slow prev=0.74/-15.69 curr=11.47/-2.11 | rising=True falling=False | recent_min=-63.26 recent_max=11.47 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 14:48:00
2026-03-11 14:50:45,2026.0,,,"2026-03-11 14:50:45,112 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 14:48:00-04:00 curr_ts=2026-03-11 14:49:00-04:00 | fast/slow prev=-14.32/-8.21 curr=-41.94/-25.07 | rising=False falling=True | recent_min=-63.26 recent_max=11.47 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 14:50:00
2026-03-11 14:51:15,2026.0,,,"2026-03-11 14:51:15,625 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 14:49:00-04:00 curr_ts=2026-03-11 14:50:00-04:00 | fast/slow prev=-41.94/-25.07 curr=-45.44/-35.26 | rising=False falling=True | recent_min=-59.46 recent_max=11.47 | crossOS=False crossOB=False | bull_confirm=False bear_confirm=True",2026-03-11 14:51:00
2026-03-11 14:52:00,2026.0,,,"2026-03-11 14:52:00,309 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 14:50:00-04:00 curr_ts=2026-03-11 14:51:00-04:00 | fast/slow prev=-45.44/-35.26 curr=-7.02/-21.14 | rising=True falling=False | recent_min=-45.44 recent_max=11.47 | crossOS=True crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 14:52:00
2026-03-11 15:05:00,2026.0,,,"2026-03-11 15:05:00,329 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 15:03:00-04:00 curr_ts=2026-03-11 15:04:00-04:00 | fast/slow prev=-52.41/-45.90 curr=-38.94/-42.42 | rising=True falling=False | recent_min=-56.58 recent_max=14.21 | crossOS=True crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 15:05:00
2026-03-11 15:08:00,2026.0,,,"2026-03-11 15:08:00,355 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 15:06:00-04:00 curr_ts=2026-03-11 15:07:00-04:00 | fast/slow prev=-36.55/-39.62 curr=-27.31/-33.46 | rising=True falling=False | recent_min=-56.58 recent_max=-16.91 | crossOS=False crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 15:08:00
2026-03-11 15:18:00,2026.0,,,"2026-03-11 15:18:00,374 | INFO | SPX0DTE | SMI bars prev_ts=2026-03-11 15:16:00-04:00 curr_ts=2026-03-11 15:17:00-04:00 | fast/slow prev=-48.72/-50.53 curr=0.58/-24.98 | rising=True falling=False | recent_min=-64.41 recent_max=14.29 | crossOS=True crossOB=False | bull_confirm=True bear_confirm=False",2026-03-11 15:18:00
