minute,obs_count,has_real_obs
2026-03-11 15:03:00,0,False
2026-03-11 15:04:00,0,False
2026-03-11 15:05:00,1,True
2026-03-11 15:06:00,4,True
2026-03-11 15:07:00,4,True
2026-03-11 15:08:00,0,False
2026-03-11 15:09:00,3,True
2026-03-11 15:10:00,3,True
2026-03-11 15:11:00,3,True
2026-03-11 15:12:00,4,True
2026-03-11 15:13:00,4,True
2026-03-11 15:14:00,4,True
2026-03-11 15:15:00,4,True
2026-03-11 15:16:00,4,True
2026-03-11 15:17:00,4,True
2026-03-11 15:18:00,0,False
2026-03-11 15:19:00,3,True
2026-03-11 15:20:00,3,True
2026-03-11 15:21:00,3,True
2026-03-11 15:22:00,4,True
2026-03-11 15:23:00,4,True
2026-03-11 15:24:00,4,True
2026-03-11 15:25:00,0,False
2026-03-11 15:26:00,0,False
