minute,open,high,low,close,obs_count
2026-03-11 14:42:00,9.5,9.6,9.5,9.6,3
2026-03-11 14:43:00,9.5,9.7,9.5,9.7,3
2026-03-11 14:44:00,9.9,9.9,9.9,9.9,3
2026-03-11 14:45:00,10.1,10.1,10.1,10.1,1
2026-03-11 14:46:00,10.8,11.1,10.8,11.0,6
2026-03-11 14:47:00,10.1,10.1,10.1,10.1,4
2026-03-11 15:26:00,7.5,7.5,7.45,7.45,7
2026-03-11 15:27:00,7.2,7.2,7.2,7.2,4
2026-03-11 15:30:00,7.6,7.6,7.4,7.4,4
2026-03-11 15:31:00,6.4,6.5,6.4,6.5,4
