minute,obs_count,has_real_obs
2026-03-11 14:39:00,0,False
2026-03-11 14:40:00,0,False
2026-03-11 14:41:00,0,False
2026-03-11 14:42:00,3,True
2026-03-11 14:43:00,3,True
2026-03-11 14:44:00,3,True
2026-03-11 14:45:00,1,True
2026-03-11 14:46:00,6,True
2026-03-11 14:47:00,4,True
2026-03-11 14:48:00,0,False
2026-03-11 14:49:00,0,False
2026-03-11 14:50:00,0,False
2026-03-11 14:51:00,0,False
2026-03-11 14:52:00,0,False
2026-03-11 14:53:00,0,False
2026-03-11 14:54:00,0,False
2026-03-11 14:55:00,0,False
2026-03-11 14:56:00,0,False
2026-03-11 14:57:00,0,False
2026-03-11 14:58:00,0,False
2026-03-11 14:59:00,0,False
2026-03-11 15:00:00,0,False
2026-03-11 15:01:00,0,False
2026-03-11 15:02:00,0,False
2026-03-11 15:03:00,0,False
2026-03-11 15:04:00,0,False
2026-03-11 15:05:00,0,False
2026-03-11 15:06:00,0,False
2026-03-11 15:07:00,0,False
2026-03-11 15:08:00,0,False
2026-03-11 15:09:00,0,False
2026-03-11 15:10:00,0,False
2026-03-11 15:11:00,0,False
2026-03-11 15:12:00,0,False
2026-03-11 15:13:00,0,False
2026-03-11 15:14:00,0,False
2026-03-11 15:15:00,0,False
2026-03-11 15:16:00,0,False
2026-03-11 15:17:00,0,False
2026-03-11 15:18:00,0,False
2026-03-11 15:19:00,0,False
2026-03-11 15:20:00,0,False
2026-03-11 15:21:00,0,False
2026-03-11 15:22:00,0,False
2026-03-11 15:23:00,0,False
2026-03-11 15:24:00,0,False
2026-03-11 15:25:00,0,False
2026-03-11 15:26:00,7,True
2026-03-11 15:27:00,4,True
2026-03-11 15:28:00,0,False
2026-03-11 15:29:00,0,False
2026-03-11 15:30:00,4,True
2026-03-11 15:31:00,4,True
2026-03-11 15:32:00,0,False
2026-03-11 15:33:00,0,False
