timestamp,minute,occ,mark,line_no,raw_line
2026-03-11 15:13:00,2026-03-11 15:13:00,SPXW260311P06760000,9.65,5678,"2026-03-11 15:13:00,930 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=9.50 ask=9.80 mark=9.65 last=9.60"
2026-03-11 15:13:00,2026-03-11 15:13:00,SPXW260311P06760000,9.65,5679,"2026-03-11 15:13:00,930 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=9.65 arm_trigger=8.90 stop=8.85 is_armed=True"
2026-03-11 15:13:00,2026-03-11 15:13:00,SPXW260311P06760000,9.65,5680,"2026-03-11 15:13:00,930 | INFO | SPX0DTE | [SPX0DTE] trailing stop moved | occ=SPXW260311P06760000 old_stop=9.45 new_stop=9.45 mark=9.65"
2026-03-11 15:14:01,2026-03-11 15:14:00,SPXW260311P06760000,10.35,5695,"2026-03-11 15:14:01,467 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.20 ask=10.50 mark=10.35 last=10.20"
2026-03-11 15:14:01,2026-03-11 15:14:00,SPXW260311P06760000,10.35,5696,"2026-03-11 15:14:01,467 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=10.35 arm_trigger=8.90 stop=9.45 is_armed=True"
2026-03-11 15:14:01,2026-03-11 15:14:00,SPXW260311P06760000,10.35,5697,"2026-03-11 15:14:01,467 | INFO | SPX0DTE | [SPX0DTE] trailing stop moved | occ=SPXW260311P06760000 old_stop=10.15 new_stop=10.15 mark=10.35"
2026-03-11 15:14:01,2026-03-11 15:14:00,SPXW260311P06760000,10.35,5710,"2026-03-11 15:14:01,927 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.20 ask=10.50 mark=10.35 last=10.20"
2026-03-11 15:15:54,2026-03-11 15:15:00,SPXW260311P06760000,10.4,5724,"2026-03-11 15:15:54,900 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.30 ask=10.50 mark=10.40 last=10.50"
2026-03-11 15:15:55,2026-03-11 15:15:00,SPXW260311P06760000,10.4,5738,"2026-03-11 15:15:55,836 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.30 ask=10.50 mark=10.40 last=10.50"
2026-03-11 15:15:55,2026-03-11 15:15:00,SPXW260311P06760000,10.4,5739,"2026-03-11 15:15:55,837 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=10.40 arm_trigger=8.90 stop=10.15 is_armed=True"
2026-03-11 15:15:55,2026-03-11 15:15:00,SPXW260311P06760000,10.4,5740,"2026-03-11 15:15:55,837 | INFO | SPX0DTE | [SPX0DTE] trailing stop moved | occ=SPXW260311P06760000 old_stop=10.20 new_stop=10.20 mark=10.40"
2026-03-11 15:16:00,2026-03-11 15:16:00,SPXW260311P06760000,10.5,5754,"2026-03-11 15:16:00,983 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.40 ask=10.60 mark=10.50 last=10.50"
2026-03-11 15:16:00,2026-03-11 15:16:00,SPXW260311P06760000,10.5,5755,"2026-03-11 15:16:00,983 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=10.50 arm_trigger=8.90 stop=10.20 is_armed=True"
2026-03-11 15:16:00,2026-03-11 15:16:00,SPXW260311P06760000,10.5,5756,"2026-03-11 15:16:00,983 | INFO | SPX0DTE | [SPX0DTE] trailing stop moved | occ=SPXW260311P06760000 old_stop=10.30 new_stop=10.30 mark=10.50"
2026-03-11 15:16:02,2026-03-11 15:16:00,SPXW260311P06760000,10.5,5770,"2026-03-11 15:16:02,210 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=10.40 ask=10.60 mark=10.50 last=10.60"
2026-03-11 15:17:00,2026-03-11 15:17:00,SPXW260311P06760000,8.9,5785,"2026-03-11 15:17:00,970 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.80 ask=9.00 mark=8.90 last=9.10"
2026-03-11 15:17:00,2026-03-11 15:17:00,SPXW260311P06760000,8.9,5786,"2026-03-11 15:17:00,970 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=8.60 mark=8.90 arm_trigger=8.90 stop=10.30 is_armed=True"
2026-03-11 15:17:00,2026-03-11 15:17:00,SPXW260311P06760000,8.9,5787,"2026-03-11 15:17:00,970 | INFO | SPX0DTE | [SPX0DTE] closing trade | occ=SPXW260311P06760000 reason=TRAIL_SL entry=8.60 mark=8.90 stop=10.30 exit=10.30"
2026-03-11 15:17:01,2026-03-11 15:17:00,SPXW260311P06760000,8.9,5800,"2026-03-11 15:17:01,874 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=8.80 ask=9.00 mark=8.90 last=9.10"
2026-03-11 15:19:01,2026-03-11 15:19:00,SPXW260311P06760000,7.1,5842,"2026-03-11 15:19:01,631 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=7.00 ask=7.20 mark=7.10 last=7.00"
2026-03-11 15:19:01,2026-03-11 15:19:00,SPXW260311P06760000,7.1,5855,"2026-03-11 15:19:01,809 | INFO | SPX0DTE | [SPX0DTE] mark lookup | occ=SPXW260311P06760000 root=$SPX bid=7.00 ask=7.20 mark=7.10 last=7.00"
2026-03-11 15:19:01,2026-03-11 15:19:00,SPXW260311P06760000,7.1,5856,"2026-03-11 15:19:01,810 | INFO | SPX0DTE | [SPX0DTE] manage trade | occ=SPXW260311P06760000 entry=6.90 mark=7.10 arm_trigger=7.20 stop=6.70 is_armed=False"
