minute,open,high,low,close,obs_count
2026-03-11 15:05:00,9.2,9.2,9.2,9.2,1
2026-03-11 15:06:00,9.65,9.85,9.65,9.85,4
2026-03-11 15:07:00,8.05,8.2,8.05,8.2,4
2026-03-11 15:09:00,8.3,8.3,8.3,8.3,3
2026-03-11 15:10:00,7.9,7.95,7.9,7.95,3
2026-03-11 15:11:00,8.05,8.1,8.05,8.1,3
2026-03-11 15:12:00,9.05,9.05,9.0,9.0,4
2026-03-11 15:13:00,9.65,9.65,9.65,9.65,4
2026-03-11 15:14:00,10.35,10.35,10.35,10.35,4
2026-03-11 15:15:00,10.4,10.4,10.4,10.4,4
2026-03-11 15:16:00,10.5,10.5,10.5,10.5,4
2026-03-11 15:17:00,8.9,8.9,8.9,8.9,4
2026-03-11 15:19:00,7.1,7.1,7.1,7.1,3
2026-03-11 15:20:00,6.9,6.9,6.3,6.3,3
2026-03-11 15:21:00,6.2,6.2,6.15,6.15,3
2026-03-11 15:22:00,7.4,7.4,7.25,7.25,4
2026-03-11 15:23:00,8.0,8.0,8.0,8.0,4
2026-03-11 15:24:00,6.9,7.2,6.9,7.2,4
