minute,obs_count,has_real_obs
2026-03-11 14:46:00,0,False
2026-03-11 14:47:00,0,False
2026-03-11 14:48:00,0,False
2026-03-11 14:49:00,4,True
2026-03-11 14:50:00,4,True
2026-03-11 14:51:00,0,False
2026-03-11 14:52:00,0,False
2026-03-11 14:53:00,3,True
2026-03-11 14:54:00,3,True
2026-03-11 14:55:00,3,True
2026-03-11 14:56:00,3,True
2026-03-11 14:57:00,3,True
2026-03-11 14:58:00,3,True
2026-03-11 14:59:00,3,True
2026-03-11 15:00:00,1,True
2026-03-11 15:01:00,5,True
2026-03-11 15:02:00,4,True
2026-03-11 15:03:00,4,True
2026-03-11 15:04:00,4,True
2026-03-11 15:05:00,0,False
2026-03-11 15:06:00,0,False
