Rank	Company	Symbol	Allocation (%)	Cumulative Weight (%)	as of
39	Vertex Pharmaceuticals Inc	VRTX	0.56	82.95	11/1/2025
40	Automatic Data Processing Inc	ADP	0.54	83.49	11/1/2025
41	Comcast Corp	CMCSA	0.52	84.01	11/1/2025
41	DoorDash Inc	DASH	0.52	84.53	11/1/2025
43	Cadence Design Systems Inc	CDNS	0.47	85	11/1/2025
43	Starbucks Corp	SBUX	0.47	85.47	11/1/2025
45	PDD Holdings Inc	PDD	0.46	85.93	11/1/2025
45	ASML Holding NV	ASML	0.46	86.39	11/1/2025
47	Synopsys Inc	SNPS	0.43	86.82	11/1/2025
48	Marvell Technology Inc	MRVL	0.41	87.23	11/1/2025
48	O'Reilly Automotive Inc	ORLY	0.41	87.64	11/1/2025
50	Mondelez International Inc	MDLZ	0.38	88.02	11/1/2025
50	Cintas Corp	CTAS	0.38	88.4	11/1/2025
52	Marriott International Inc/MD	MAR	0.36	88.76	11/1/2025
					
54	Thomson Reuters Corp	TRI	0.35	89.47	11/1/2025
54	Regeneron Pharmaceuticals Inc	REGN	0.35	89.82	11/1/2025
56	CSX Corp	CSX	0.34	90.16	11/1/2025
56	PayPal Holdings Inc	PYPL	0.34	90.5	11/1/2025
56	Fortinet Inc	FTNT	0.34	90.84	11/1/2025
59	Monster Beverage Corp	MNST	0.33	91.17	11/1/2025
59	Autodesk Inc	ADSK	0.33	91.5	11/1/2025
59	American Electric Power Co Inc	AEP	0.33	91.83	11/1/2025
62	Axon Enterprise Inc	AXON	0.29	92.12	11/1/2025
63	Warner Bros Discovery Inc	WBD	0.28	92.4	11/1/2025
63	Airbnb Inc	ABNB	0.28	92.68	11/1/2025
65	Workday Inc	WDAY	0.27	92.95	11/1/2025
65	Ross Stores Inc	ROST	0.27	93.22	11/1/2025
65	Datadog Inc	DDOG	0.27	93.49	11/1/2025
65	NXP Semiconductors NV	NXPI	0.27	93.76	11/1/2025
69	PACCAR Inc	PCAR	0.26	94.02	11/1/2025
69	Zscaler Inc	ZS	0.26	94.28	11/1/2025
69	IDEXX Laboratories Inc	IDXX	0.26	94.54	11/1/2025
69	Electronic Arts Inc	EA	0.26	94.8	11/1/2025
73	AstraZeneca PLC	AZN	0.25	95.05	11/1/2025
73	Roper Technologies Inc	ROP	0.25	95.3	11/1/2025
73	Xcel Energy Inc	XEL	0.25	95.55	11/1/2025
76	Take-Two Interactive Software Inc	TTWO	0.24	95.79	11/1/2025
76	Exelon Corp	EXC	0.24	96.03	11/1/2025
76	Fastenal Co	FAST	0.24	96.27	11/1/2025
76	Baker Hughes Co	BKR	0.24	96.51	11/1/2025
80	Paychex Inc	PAYX	0.22	96.73	11/1/2025
81	Copart Inc	CPRT	0.21	96.94	11/1/2025
